VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,1675151333000000,1675151723000000,1.0,1.2,1.0,N,236,237,1,7.9,2.5,0.5,2.35,0.0,1.0,14.25,2.5,0.0
2,1675148436000000,1675149161000000,1.0,2.55,1.0,N,164,141,1,14.2,0.0,0.5,1.0,0.0,1.0,19.2,2.5,0.0
2,1675149495000000,1675149935000000,1.0,1.29,1.0,N,140,236,1,9.3,0.0,0.5,2.66,0.0,1.0,15.96,2.5,0.0
2,1675150066000000,1675150127000000,1.0,0.29,1.0,N,236,236,1,3.7,0.0,0.5,2.31,0.0,1.0,10.01,2.5,0.0
2,1675150218000000,1675150697000000,1.0,1.92,1.0,N,236,161,1,11.4,0.0,0.5,3.08,0.0,1.0,18.48,2.5,0.0
2,1675151299000000,1675151605000000,1.0,0.77,1.0,N,237,237,1,7.2,0.0,0.5,1.68,0.0,1.0,12.88,2.5,0.0
2,1675151821000000,1675152235000000,1.0,0.78,1.0,N,237,236,1,7.9,0.0,0.5,1.2,0.0,1.0,13.1,2.5,0.0
2,1675149514000000,1675149873000000,1.0,1.33,1.0,N,142,48,2,8.6,0.0,0.5,0.0,0.0,1.0,12.6,2.5,0.0
2,1675150940000000,1675151468000000,1.0,1.66,1.0,N,163,170,1,10.7,0.0,0.5,3.68,0.0,1.0,18.38,2.5,0.0
2,1675151710000000,1675151969000000,1.0,0.73,1.0,N,100,230,2,6.5,0.0,0.5,0.0,0.0,1.0,10.5,2.5,0.0
1,1675150501000000,1675150825000000,3.0,0.9,1.0,N,75,238,1,7.9,2.5,0.5,2.35,0.0,1.0,14.25,2.5,0.0
1,1675150892000000,1675151214000000,0.0,1.5,1.0,N,43,142,1,8.6,2.5,0.5,2.5,0.0,1.0,15.1,2.5,0.0
2,1675150289000000,1675151302000000,1.0,0.0,1.0,N,24,263,1,14.2,0.0,0.5,3.64,0.0,1.0,21.84,2.5,0.0
